Herbarium accession sheet,Species,Flower number,Corolla length (cm),Corolla width throat (cm),Mean corolla length (cm),Standard Deviation corolla length (cm),Mean corolla width (cm),Standard deviation  corolla width (cm),Length width ratio
Aliciella ripleyi RSABG678140,Aliciella ripleyi,1,,,,,,,
Aliciella ripleyi RSABG678140,Aliciella ripleyi,2,,,,,,,
Aliciella ripleyi RSABG678140,Aliciella ripleyi,3,,,,,,,
,Aliciella ripleyi,,,,0.91,0.013747727,0.285666667,0.006806859,3.185530922
Aliciella sedifolia RMH740400,Aliciella sedifolia,1,0.765,0.257,,,,,
Aliciella sedifolia RMH740400,Aliciella sedifolia,2,0.57,0.219,,,,,
Aliciella sedifolia RMH740400,Aliciella sedifolia,3,1.041,0.186,,,,,
Aliciella sedifolia RMH816902,Aliciella sedifolia,1,0.635,0.15,,,,,
Aliciella sedifolia RMH816902,Aliciella sedifolia,2,0.606,0.134,,,,,
Aliciella sedifolia RMH816902,Aliciella sedifolia,3,0.608,0.105,,,,,
Aliciella sedifolia RSABG716285,Aliciella sedifolia,1,0.543,0.172,,,,,
Aliciella sedifolia RSABG716285,Aliciella sedifolia,2,0.67,0.129,,,,,
Aliciella sedifolia RSABG778458,Aliciella sedifolia,1,0.628,0.133,,,,,
Aliciella sedifolia RSABG778458,Aliciella sedifolia,2,0.534,0.109,,,,,
Aliciella sedifolia RSABG778458,Aliciella sedifolia,3,0.509,0.12,,,,,
,Aliciella sedifolia,,,,0.646272727,0.148979254,0.155818182,0.04817638,4.147607935
Aliciella stenothyrsa KANU00324699,Aliciella stenothyrsa,1,0.933,0.211,,,,,
Aliciella stenothyrsa KANU00324699,Aliciella stenothyrsa,2,0.806,0.222,,,,,
Aliciella stenothyrsa KANU00324699,Aliciella stenothyrsa,3,1.015,0.217,,,,,
Aliciella stenothyrsa KANU00324716,Aliciella stenothyrsa,1,0.8,0.189,,,,,
Aliciella stenothyrsa KANU00324716,Aliciella stenothyrsa,2,0.73,0.154,,,,,
Aliciella stenothyrsa KANU00324716,Aliciella stenothyrsa,3,0.85,0.209,,,,,
Aliciella stenothyrsa KSC0126391,Aliciella stenothyrsa,1,1.044,0.28,,,,,
Aliciella stenothyrsa KSC0126391,Aliciella stenothyrsa,2,1.068,0.223,,,,,
Aliciella stenothyrsa KSC0126391,Aliciella stenothyrsa,3,0.987,0.227,,,,,
,Aliciella stenothyrsa,,,,0.914777778,0.122021287,0.214666667,0.03341781,4.261387164
Aliciella subacaulis RSABG671709,Aliciella subacaulis,1,0.362,0.106,,,,,
Aliciella subacaulis RSABG671709,Aliciella subacaulis,2,0.363,0.117,,,,,
Aliciella subacaulis RSABG671709,Aliciella subacaulis,3,0.451,0.102,,,,,
Aliciella subacaulis RSABG767897,Aliciella subacaulis,1,0.647,0.122,,,,,
Aliciella subacaulis RSABG767897,Aliciella subacaulis,2,0.579,0.143,,,,,
Aliciella subacaulis RSABG767897,Aliciella subacaulis,3,0.717,0.161,,,,,
,Aliciella subacaulis,,,,0.519833333,0.150195095,0.125166667,0.022728103,4.153129161
Aliciella subnuda KANU00237795,Aliciella subnuda,1,1.792,0.293,,,,,
Aliciella subnuda KANU00237795,Aliciella subnuda,2,1.781,0.273,,,,,
Aliciella subnuda KANU00237795,Aliciella subnuda,3,1.875,0.277,,,,,
Aliciella subnuda KANU00237796,Aliciella subnuda,1,1.714,0.221,,,,,
Aliciella subnuda KANU00237796,Aliciella subnuda,2,1.503,0.207,,,,,
Aliciella subnuda KANU00237796,Aliciella subnuda,3,1.465,0.254,,,,,
Aliciella subnuda KANU00237798,Aliciella subnuda,1,1.481,0.248,,,,,
Aliciella subnuda KANU00237798,Aliciella subnuda,2,1.425,0.23,,,,,
Aliciella subnuda KANU00237798,Aliciella subnuda,3,1.448,0.225,,,,,
Aliciella subnuda KANU00247797,Aliciella subnuda,1,1.501,0.194,,,,,
