Herbarium accession sheet,Species,Flower number,Corolla length (cm),Corolla width throat (cm),Mean corolla length (cm),Standard Deviation corolla length (cm),Mean corolla width (cm),Standard deviation  corolla width (cm),Length width ratio
Ipomopsis multiflora ASU281923,Ipomopsis multiflora,1,1.123,0.16,,,,,
Ipomopsis multiflora ASU281923,Ipomopsis multiflora,2,1.017,0.198,,,,,
Ipomopsis multiflora ASU281923,Ipomopsis multiflora,3,1.153,0.176,,,,,
Ipomopsis multiflora ASU246124,Ipomopsis multiflora,1,1.127,0.215,,,,,
Ipomopsis multiflora ASU246124,Ipomopsis multiflora,2,0.956,0.183,,,,,
Ipomopsis multiflora ASU246124,Ipomopsis multiflora,3,1.052,0.209,,,,,
Ipomopsis multiflora ASU256074,Ipomopsis multiflora,1,0.989,0.156,,,,,
Ipomopsis multiflora ASU256074,Ipomopsis multiflora,2,1.019,0.181,,,,,
Ipomopsis multiflora ASU256074,Ipomopsis multiflora,3,0.963,0.181,,,,,
Ipomopsis multiflora KANU00242199,Ipomopsis multiflora,1,1.191,0.199,,,,,
Ipomopsis multiflora KANU00242199,Ipomopsis multiflora,2,0.983,0.191,,,,,
Ipomopsis multiflora KANU00242199,Ipomopsis multiflora,3,0.936,0.176,,,,,
Ipomopsis multiflora KANU00242200,Ipomopsis multiflora,1,1.254,0.252,,,,,
Ipomopsis multiflora KANU00242200,Ipomopsis multiflora,2,1.394,0.216,,,,,
Ipomopsis multiflora KANU00242200,Ipomopsis multiflora,3,1.327,0.297,,,,,
Ipomopsis multiflora KSC0126319,Ipomopsis multiflora,1,0.557,0.119,,,,,
Ipomopsis multiflora KSC0126319,Ipomopsis multiflora,2,0.499,0.138,,,,,
Ipomopsis multiflora KSC0126319,Ipomopsis multiflora,3,0.534,0.129,,,,,
,Ipomopsis multiflora,,,,1.004111111,0.253573957,0.187555556,0.042784305,5.353672986
Ipomopsis pinnata ASU79436,Ipomopsis pinnata,1,1.174,0.216,,,,,
Ipomopsis pinnata ASU79436,Ipomopsis pinnata,2,1.164,0.212,,,,,
Ipomopsis pinnata ASU79436,Ipomopsis pinnata,3,1.051,0.209,,,,,
Ipomopsis pinnata RSABG586885,Ipomopsis pinnata,1,0.845,0.175,,,,,
Ipomopsis pinnata RSABG586885,Ipomopsis pinnata,2,0.744,0.151,,,,,
Ipomopsis pinnata RSABG586885,Ipomopsis pinnata,3,0.89,0.207,,,,,
Ipomopsis pinnata RSABG743768,Ipomopsis pinnata,1,0.872,0.203,,,,,
Ipomopsis pinnata RSABG743768,Ipomopsis pinnata,2,0.902,0.215,,,,,
Ipomopsis pinnata RSABG743768,Ipomopsis pinnata,3,0.911,0.193,,,,,
Ipomopsis pinnata UNM123448,Ipomopsis pinnata,1,1.192,0.213,,,,,
Ipomopsis pinnata UNM123448,Ipomopsis pinnata,2,1.087,0.239,,,,,
Ipomopsis pinnata UNM123448,Ipomopsis pinnata,3,1.063,0.264,,,,,
Ipomopsis pinnata UNM81872,Ipomopsis pinnata,1,1.275,0.233,,,,,
Ipomopsis pinnata UNM81872,Ipomopsis pinnata,2,1.303,0.241,,,,,
Ipomopsis pinnata UNM81872,Ipomopsis pinnata,3,1.311,0.193,,,,,
,Ipomopsis pinnata,,,,1.052266667,0.182624309,0.210933333,0.027582258,4.988621997
Ipomopsis polyantha 1199313,Ipomopsis polyantha,1,1.257,0.279,,,,,
Ipomopsis polyantha 1199313,Ipomopsis polyantha,2,1.008,0.236,,,,,
Ipomopsis polyantha 1199313,Ipomopsis polyantha,3,1.023,0.28,,,,,
Ipomopsis polyantha FLAS134452,Ipomopsis polyantha,1,0.539,0.078,,,,,
Ipomopsis polyantha FLAS134452,Ipomopsis polyantha,2,0.522,0.151,,,,,
Ipomopsis polyantha FLAS134452,Ipomopsis polyantha,3,0.624,0.159,,,,,
Ipomopsis polyantha KANU00242201,Ipomopsis polyantha,1,1.023,0.289,,,,,
Ipomopsis polyantha KANU00242201,Ipomopsis polyantha,2,0.882,0.227,,,,,
Ipomopsis polyantha KANU00242201,Ipomopsis polyantha,3,0.773,0.227,,,,,
Ipomopsis polyantha MO5188647,Ipomopsis polyantha,1,0.915,0.19,,,,,
Ipomopsis polyantha MO5188647,Ipomopsis polyantha,2,0.789,0.207,,,,,
Ipomopsis polyantha MO5188647,Ipomopsis polyantha,3,0.688,0.231,,,,,
Ipomopsis polyantha MO890264,Ipomopsis polyantha,1,0.907,0.285,,,,,
Ipomopsis polyantha MO890264,Ipomopsis polyantha,2,1.211,0.279,,,,,
Ipomopsis polyantha MO890264,Ipomopsis polyantha,3,1.052,0.269,,,,,
Ipomopsis polyantha RMH393646,Ipomopsis polyantha,1,0.902,0.279,,,,,
Ipomopsis polyantha RMH393646,Ipomopsis polyantha,2,0.912,0.239,,,,,
Ipomopsis polyantha RMH393646,Ipomopsis polyantha,3,0.928,0.225,,,,,
Ipomopsis polyantha RMH393647,Ipomopsis polyantha,1,1.049,0.248,,,,,
Ipomopsis polyantha RMH393647,Ipomopsis polyantha,2,0.766,0.263,,,,,
Ipomopsis polyantha RMH393647,Ipomopsis polyantha,3,0.921,0.264,,,,,
Ipomopsis polyantha UF40538,Ipomopsis polyantha,1,1.18,0.22,,,,,
Ipomopsis polyantha UF40538,Ipomopsis polyantha,2,0.99,0.259,,,,,
Ipomopsis polyantha UF40538,Ipomopsis polyantha,3,0.896,0.248,,,,,
,Ipomopsis polyantha,,,,0.906541667,0.19105974,0.234666667,0.050094404,3.863103693
Ipomopsis polycladon KANU00242202,Ipomopsis polycladon,1,0.585,0.175,,,,,
Ipomopsis polycladon KANU00242202,Ipomopsis polycladon,2,0.439,0.085,,,,,
Ipomopsis polycladon KANU00242202,Ipomopsis polycladon,3,0.392,0.137,,,,,
Ipomopsis polycladon KANU00242207,Ipomopsis polycladon,1,0.397,0.135,,,,,
Ipomopsis polycladon KANU00242207,Ipomopsis polycladon,2,0.195,0.101,,,,,
Ipomopsis polycladon KANU00242209,Ipomopsis polycladon,1,0.349,0.081,,,,,
Ipomopsis polycladon KANU00242209,Ipomopsis polycladon,2,0.292,0.085,,,,,
Ipomopsis polycladon KANU00242209,Ipomopsis polycladon,3,0.279,0.128,,,,,
Ipomopsis polycladon UF202043,Ipomopsis polycladon,1,,,,,,,
Ipomopsis polycladon UF202043,Ipomopsis polycladon,2,,,,,,,
Ipomopsis polycladon UF202043,Ipomopsis polycladon,3,,,,,,,
,Ipomopsis polycladon,,,,0.366,0.118020579,0.115875,0.033378511,3.158576052
Ipomopsis pringlei Arizona 342915,Ipomopsis pringlei,1,3.261,0.627,,,,,
Ipomopsis pringlei Arizona 342915,Ipomopsis pringlei,2,3.067,0.537,,,,,
Ipomopsis pringlei Arizona 342915,Ipomopsis pringlei,3,2.968,0.483,,,,,
Ipomopsis pringlei RSABG735405,Ipomopsis pringlei,1,2.839,0.459,,,,,
Ipomopsis pringlei RSABG735405,Ipomopsis pringlei,2,2.903,0.31,,,,,
Ipomopsis pringlei RSABG735405,Ipomopsis pringlei,3,2.877,0.295,,,,,
Ipomopsis pringlei RSABG743767,Ipomopsis pringlei,1,2.292,0.41,,,,,
Ipomopsis pringlei RSABG743767,Ipomopsis pringlei,2,2.592,0.469,,,,,
Ipomopsis pringlei RSABG743767,Ipomopsis pringlei,3,2.712,0.388,,,,,
,Ipomopsis pringlei,,,,2.834555556,0.280271793,0.442,0.105428886,6.413021619
Ipomopsis pumila KANU00242210,Ipomopsis pumila,1,0.892,0.1,,,,,
Ipomopsis pumila KANU00242210,Ipomopsis pumila,2,0.98,0.15,,,,,
Ipomopsis pumila KANU00242210,Ipomopsis pumila,3,0.948,0.133,,,,,
Ipomopsis pumila KANU00242213,Ipomopsis pumila,1,1.047,0.149,,,,,
Ipomopsis pumila KANU00242213,Ipomopsis pumila,2,0.887,0.131,,,,,
Ipomopsis pumila KANU00242213,Ipomopsis pumila,3,1.049,0.137,,,,,
Ipomopsis pumila KSC0127470,Ipomopsis pumila,1,0.712,0.137,,,,,
Ipomopsis pumila KSC0127470,Ipomopsis pumila,2,0.594,0.151,,,,,
Ipomopsis pumila KSC0127470,Ipomopsis pumila,3,0.56,0.202,,,,,
Ipomopsis pumila UNM113120,Ipomopsis pumila,1,1.097,0.194,,,,,
Ipomopsis pumila UNM113120,Ipomopsis pumila,2,1.045,0.156,,,,,
Ipomopsis pumila UNM113120,Ipomopsis pumila,3,1.002,0.165,,,,,
Ipomopsis pumila UNM114147,Ipomopsis pumila,1,1.407,0.123,,,,,
Ipomopsis pumila UNM114147,Ipomopsis pumila,2,0.933,0.134,,,,,
Ipomopsis pumila UNM114147,Ipomopsis pumila,3,0.884,0.114,,,,,
Ipomopsis pumila UNM88300,Ipomopsis pumila,1,1.029,0.167,,,,,
Ipomopsis pumila UNM88300,Ipomopsis pumila,2,0.89,0.213,,,,,
Ipomopsis pumila UNM88300,Ipomopsis pumila,3,0.975,0.13,,,,,
Ipomopsis pumila UNM93840,Ipomopsis pumila,1,0.934,0.17,,,,,
Ipomopsis pumila UNM93840,Ipomopsis pumila,2,0.854,0.14,,,,,
Ipomopsis pumila UNM93840,Ipomopsis pumila,3,0.697,0.14,,,,,
,Ipomopsis pumila,,,,0.924571429,0.184408127,0.149333333,0.028214063,6.191326531
Ipomopsis roseata KANU00242218,Ipomopsis roseata,1,1.061,0.168,,,,,
Ipomopsis roseata KANU00242218,Ipomopsis roseata,2,1.117,0.192,,,,,
Ipomopsis roseata KANU00242218,Ipomopsis roseata,3,0.869,0.258,,,,,
Ipomopsis roseata KANU00242219,Ipomopsis roseata,1,0.609,0.124,,,,,
Ipomopsis roseata KANU00242219,Ipomopsis roseata,2,0.482,0.129,,,,,
Ipomopsis roseata KANU00242219,Ipomopsis roseata,3,0.471,0.182,,,,,
Ipomopsis roseata RMH344766,Ipomopsis roseata,1,0.995,0.129,,,,,
Ipomopsis roseata RMH344766,Ipomopsis roseata,2,0.89,0.144,,,,,
Ipomopsis roseata RMH344766,Ipomopsis roseata,3,1.166,0.173,,,,,
Ipomopsis roseata RMH368362,Ipomopsis roseata,1,0.835,0.164,,,,,
Ipomopsis roseata RMH368362,Ipomopsis roseata,2,0.87,0.16,,,,,
Ipomopsis roseata RMH368362,Ipomopsis roseata,3,0.878,0.119,,,,,
Ipomopsis roseata RMH744381,Ipomopsis roseata,1,0.713,0.11,,,,,
Ipomopsis roseata RMH744381,Ipomopsis roseata,2,0.69,0.099,,,,,
Ipomopsis roseata RMH744381,Ipomopsis roseata,3,0.716,0.113,,,,,
Ipomopsis roseata RMH785469,Ipomopsis roseata,1,1.15,0.168,,,,,
Ipomopsis roseata RMH785469,Ipomopsis roseata,2,1.159,0.188,,,,,
Ipomopsis roseata RMH785469,Ipomopsis roseata,3,0.905,0.115,,,,,
,Ipomopsis roseata,,,,0.865333333,0.220134451,0.151944444,0.039594225,5.695063985
Ipomopsis rubra KANU00242224,Ipomopsis rubra,1,2.71,0.459,,,,,
Ipomopsis rubra KANU00242224,Ipomopsis rubra,2,2.683,0.41,,,,,
Ipomopsis rubra KANU00242224,Ipomopsis rubra,3,2.935,0.51,,,,,
Ipomopsis rubra KANU352624,Ipomopsis rubra,1,3.234,0.522,,,,,
Ipomopsis rubra KANU352624,Ipomopsis rubra,2,2.998,0.491,,,,,
Ipomopsis rubra KANU352624,Ipomopsis rubra,3,3.216,0.432,,,,,
,Ipomopsis rubra,,,,2.962666667,0.237430972,0.470666667,0.044513668,6.294617564
Ipomopsis sancti spiritus MO3599997,Ipomopsis sancti-spiritus,1,2.135,0.271,,,,,
Ipomopsis sancti spiritus MO3599997,Ipomopsis sancti-spiritus,2,1.522,0.248,,,,,
Ipomopsis sancti spiritus MO3599997,Ipomopsis sancti-spiritus,3,1.789,0.233,,,,,
Ipomopsis sancti-spiritus UNM75123,Ipomopsis sancti-spiritus,1,2.149,0.317,,,,,
Ipomopsis sancti-spiritus UNM75123,Ipomopsis sancti-spiritus,2,2.144,0.289,,,,,
Ipomopsis sancti-spiritus UNM75123,Ipomopsis sancti-spiritus,3,1.9,0.274,,,,,
Ipomopsis sancti-spiritus UNM76374,Ipomopsis sancti-spiritus,1,2.275,0.297,,,,,
Ipomopsis sancti-spiritus UNM76374,Ipomopsis sancti-spiritus,2,1.957,0.292,,,,,
Ipomopsis sancti-spiritus UNM76374,Ipomopsis sancti-spiritus,3,1.815,0.293,,,,,
,Ipomopsis sancti-spiritus,,,,1.965111111,0.235825913,0.279333333,0.02597595,7.035003978
Ipomopsis sonorae ASU252692,Ipomopsis sonorae,1,0.474,0.097,,,,,
Ipomopsis sonorae ASU252692,Ipomopsis sonorae,2,0.39,0.113,,,,,
Ipomopsis sonorae ASU188835,Ipomopsis sonorae,1,0.767,0.132,,,,,
Ipomopsis sonorae ASU188835,Ipomopsis sonorae,2,0.675,0.119,,,,,
Ipomopsis sonorae ASU188835,Ipomopsis sonorae,3,0.514,0.105,,,,,
,Ipomopsis sonorae,,,,0.564,0.153627797,0.1132,0.01338656,4.982332155
Ipomopsis spicata KANU00329835,Ipomopsis spicata,1,0.71,0.207,,,,,
Ipomopsis spicata KANU00329835,Ipomopsis spicata,2,0.778,0.193,,,,,
Ipomopsis spicata KANU00329835,Ipomopsis spicata,3,0.725,0.215,,,,,
Ipomopsis spicata KANU00330425,Ipomopsis spicata,1,0.581,0.175,,,,,
Ipomopsis spicata KANU00330425,Ipomopsis spicata,2,0.76,0.141,,,,,
Ipomopsis spicata KANU00330425,Ipomopsis spicata,3,0.77,0.145,,,,,
Ipomopsis spicata UF134451,Ipomopsis spicata,1,0.907,0.237,,,,,
Ipomopsis spicata UF134451,Ipomopsis spicata,2,0.915,0.193,,,,,
Ipomopsis spicata UF134451,Ipomopsis spicata,3,0.659,0.176,,,,,
Ipomopsis spicata UF134453,Ipomopsis spicata,1,0.932,0.192,,,,,
Ipomopsis spicata UF134453,Ipomopsis spicata,2,0.925,0.263,,,,,
Ipomopsis spicata UF134453,Ipomopsis spicata,3,1.092,0.263,,,,,
Ipomopsis spicata UF134506,Ipomopsis spicata,1,1.102,0.312,,,,,
Ipomopsis spicata UF134506,Ipomopsis spicata,2,0.729,0.209,,,,,
Ipomopsis spicata UF134506,Ipomopsis spicata,3,0.739,0.28,,,,,
Ipomopsis spicata UNM95446,Ipomopsis spicata,1,0.787,0.175,,,,,
Ipomopsis spicata UNM95446,Ipomopsis spicata,2,0.618,0.11,,,,,
Ipomopsis spicata UNM95446,Ipomopsis spicata,3,0.838,0.124,,,,,
Ipomopsis spicata UNM96481,Ipomopsis spicata,1,0.621,0.093,,,,,
Ipomopsis spicata UNM96481,Ipomopsis spicata,2,0.49,0.119,,,,,
Ipomopsis spicata UNM96481,Ipomopsis spicata,3,0.583,0.142,,,,,
,Ipomopsis spicata,,,,0.774333333,0.161808014,0.188761905,0.059032961,4.102169526
Ipomopsis spicata ssp spicata KANU00330447,Ipomopsis spicata ssp spicata,1,0.721,0.195,,,,,
Ipomopsis spicata ssp spicata KANU00330447,Ipomopsis spicata ssp spicata,2,0.728,0.104,,,,,
Ipomopsis spicata ssp spicata KANU00330447,Ipomopsis spicata ssp spicata,3,0.563,0.114,,,,,
,Ipomopsis spicata ssp spicata,,,,0.670666667,0.093307735,0.137666667,0.04990324,4.871670702
Ipomopsis tenuifolia KANU00237806,Ipomopsis tenuifolia,1,0.841,0.155,,,,,
Ipomopsis tenuifolia KANU00237806,Ipomopsis tenuifolia,2,1.101,0.156,,,,,
Ipomopsis tenuituba ASU208786,Ipomopsis tenuituba,1,4.215,0.274,,,,,
Ipomopsis tenuituba ASU208786,Ipomopsis tenuituba,2,5.085,0.34,,,,,
Ipomopsis tenuituba ASU208786,Ipomopsis tenuituba,3,4.477,0.315,,,,,
Ipomopsis tenuituba ASU281978,Ipomopsis tenuituba,1,3.587,0.291,,,,,
Ipomopsis tenuituba ASU281978,Ipomopsis tenuituba,2,3.687,0.225,,,,,
Ipomopsis tenuituba ASU281978,Ipomopsis tenuituba,3,3.334,0.275,,,,,
,Ipomopsis tenuituba,,,,3.290875,1.536400658,0.253875,0.069254061,12.96258001
Ipomopsis tenuituba ssp macrosiphon KANU00242274,Ipomopsis tenuituba ssp macrosiphon,1,3.666,0.318,,,,,
Ipomopsis tenuituba ssp macrosiphon KANU00242274,Ipomopsis tenuituba ssp macrosiphon,2,3.575,0.311,,,,,
Ipomopsis tenuituba ssp macrosiphon KANU00242274,Ipomopsis tenuituba ssp macrosiphon,3,2.2,0.321,,,,,
,Ipomopsis tenuituba ssp macrosiphon,,,,3.147,0.821387241,0.316666667,0.005131601,9.937894737
Ipomopsis tenuituba ssp tenuituba KANU00242273,Ipomopsis tenuituba ssp tenuituba,1,3.98,0.32,,,,,
Ipomopsis tenuituba ssp tenuituba KANU00242273,Ipomopsis tenuituba ssp tenuituba,2,4.48,0.374,,,,,
Ipomopsis tenuituba ssp tenuituba KANU00242273,Ipomopsis tenuituba ssp tenuituba,3,3.885,0.27,,,,,
,Ipomopsis tenuituba ssp tenuituba,,,,4.115,0.319648244,0.321333333,0.052012819,12.8060166
Ipomopsis thurberi ASU193998,Ipomopsis thurberi,1,3.584,0.332,,,,,
Ipomopsis thurberi ASU193998,Ipomopsis thurberi,2,4.45,0.263,,,,,
Ipomopsis thurberi ASU193998,Ipomopsis thurberi,3,3.486,0.253,,,,,
Ipomopsis thurberi ASU262383,Ipomopsis thurberi,1,3.063,0.368,,,,,
Ipomopsis thurberi ASU262383,Ipomopsis thurberi,2,3.069,0.366,,,,,
Ipomopsis thurberi ASU262383,Ipomopsis thurberi,3,3.687,0.272,,,,,
Ipomopsis thurberi KANU00242276,Ipomopsis thurberi,1,4.359,0.326,,,,,
Ipomopsis thurberi KANU00242276,Ipomopsis thurberi,2,3.544,0.364,,,,,
Ipomopsis thurberi KANU00242276,Ipomopsis thurberi,3,4.408,0.315,,,,,
Ipomopsis thurberi KANU355538,Ipomopsis thurberi,1,2.731,0.324,,,,,
Ipomopsis thurberi KANU355538,Ipomopsis thurberi,2,2.604,0.333,,,,,
Ipomopsis thurberi KANU355538,Ipomopsis thurberi,3,2.601,0.304,,,,,
Ipomopsis thurberi KSC0126411,Ipomopsis thurberi,1,2.241,0.293,,,,,
Ipomopsis thurberi KSC0126411,Ipomopsis thurberi,2,2.197,0.339,,,,,
Ipomopsis thurberi KSC0126411,Ipomopsis thurberi,3,2.194,0.314,,,,,
,Ipomopsis thurberi,,,,3.214533333,0.795265802,0.317733333,0.035949303,10.11707931
Ipomopsis tridactyla MO1003493,Ipomopsis tridactyla,1,0.799,0.137,,,,,
Ipomopsis tridactyla MO1003493,Ipomopsis tridactyla,2,0.941,0.188,,,,,
Ipomopsis tridactyla MO1003493,Ipomopsis tridactyla,3,0.715,0.147,,,,,
Ipomopsis tridactyla MO991093,Ipomopsis tridactyla,1,0.972,0.258,,,,,
Ipomopsis tridactyla MO991093,Ipomopsis tridactyla,2,0.682,0.145,,,,,
Ipomopsis tridactyla MO991093,Ipomopsis tridactyla,3,0.809,0.193,,,,,
,Ipomopsis tridactyla,,,,0.819666667,0.116940441,0.178,0.04572964,4.604868914
Ipomopsis wrightii ASU247650,Ipomopsis wrightii,1,0.833,0.174,,,,,
Ipomopsis wrightii ASU247650,Ipomopsis wrightii,2,0.98,0.241,,,,,
Ipomopsis wrightii ASU247650,Ipomopsis wrightii,3,0.993,0.275,,,,,
Ipomopsis wrightii ASU246138,Ipomopsis wrightii,1,1.087,0.127,,,,,
Ipomopsis wrightii ASU246138,Ipomopsis wrightii,2,1.006,0.124,,,,,
Ipomopsis wrightii ASU246138,Ipomopsis wrightii,3,0.791,0.204,,,,,
Ipomopsis wrightii MO3217941,Ipomopsis wrightii,1,1.025,0.387,,,,,
Ipomopsis wrightii MO3217941,Ipomopsis wrightii,2,0.994,0.327,,,,,
Ipomopsis wrightii MO3217941,Ipomopsis wrightii,3,1.265,0.261,,,,,
Ipomopsis wrightii MO4003571,Ipomopsis wrightii,1,0.899,0.149,,,,,
Ipomopsis wrightii MO4003571,Ipomopsis wrightii,2,0.926,0.214,,,,,
Ipomopsis wrightii MO4003571,Ipomopsis wrightii,3,0.727,0.192,,,,,
,Ipomopsis wrightii,,,,0.9605,0.142060486,0.222916667,0.080045962,4.308785047
Langloisia punctata KANU00245452,Langloisia punctata,1,1.928,0.428,,,,,
Langloisia punctata KANU00245452,Langloisia punctata,2,1.82,0.385,,,,,
Langloisia punctata KANU00245452,Langloisia punctata,3,1.418,0.316,,,,,
Langloisia punctata KANU00245454,Langloisia punctata,1,0.879,0.279,,,,,
Langloisia punctata KANU00245454,Langloisia punctata,2,1.249,0.196,,,,,
Langloisia punctata KANU00245454,Langloisia punctata,3,1.071,0.303,,,,,
Langloisia punctata KANU358618,Langloisia punctata,1,1.403,0.391,,,,,
Langloisia punctata KANU358618,Langloisia punctata,2,1.46,0.401,,,,,
Langloisia punctata KANU358618,Langloisia punctata,3,1.065,0.438,,,,,
,Langloisia punctata,,,,1.365888889,0.347014569,0.348555556,0.080185895,3.918712145
Langloisia setosissima KANU00245459,Langloisia setosissima,1,1.013,0.235,,,,,
Langloisia setosissima KANU00245459,Langloisia setosissima,2,0.806,0.234,,,,,
Langloisia setosissima KANU00245459,Langloisia setosissima,3,1.026,0.188,,,,,
Langloisia setosissima KANU00245460,Langloisia setosissima,1,1.018,0.183,,,,,
Langloisia setosissima KANU00245460,Langloisia setosissima,2,1.13,0.324,,,,,
Langloisia setosissima KANU00245460,Langloisia setosissima,3,0.942,0.288,,,,,
Langloisia setosissima KANU361666,Langloisia setosissima,1,0.977,0.178,,,,,
Langloisia setosissima KANU361666,Langloisia setosissima,2,1.07,0.334,,,,,
Langloisia setosissima KANU361666,Langloisia setosissima,3,1.219,0.231,,,,,
Langloisia setosissima KSC0126431,Langloisia setosissima,1,0.79,0.306,,,,,
Langloisia setosissima KSC0126435,Langloisia setosissima,1,0.967,0.293,,,,,
Langloisia setosissima KSC0126435,Langloisia setosissima,2,1.213,0.293,,,,,
Langloisia setosissima KSC0126435,Langloisia setosissima,3,1.011,0.306,,,,,
,Langloisia setosissima,,,,1.014,0.129289726,0.261,0.055326305,3.885057471
Lathrocasis tenerrima KANU00237799,Lathrocasis tenerrima,1,0.319,0.114,,,,,
Lathrocasis tenerrima KANU00237799,Lathrocasis tenerrima,2,0.357,0.156,,,,,
Lathrocasis tenerrima KANU00237799,Lathrocasis tenerrima,3,0.272,0.105,,,,,
Lathrocasis tenerrima KANU00319369,Lathrocasis tenerrima,1,0.269,0.096,,,,,
Lathrocasis tenerrima KANU00319369,Lathrocasis tenerrima,2,0.242,0.106,,,,,
Lathrocasis tenerrima KANU00319369,Lathrocasis tenerrima,3,0.237,0.094,,,,,
Lathrocasis tenerrima KANU00319415,Lathrocasis tenerrima,1,0.27,0.102,,,,,
Lathrocasis tenerrima KANU00319415,Lathrocasis tenerrima,2,0.288,0.097,,,,,
Lathrocasis tenerrima KANU00319415,Lathrocasis tenerrima,3,0.279,0.102,,,,,
,Lathrocasis tenerrima,,,,0.277,0.037469988,0.1045,0.018894444,2.650717703
Leptosiphon acicularis MO1231089,Leptosiphon acicularis,1,1.876,0.193,,,,,
Leptosiphon acicularis MO1231089,Leptosiphon acicularis,2,1.872,0.217,,,,,
Leptosiphon acicularis MO1231089,Leptosiphon acicularis,3,1.878,0.179,,,,,
Leptosiphon acicularis MO4210887,Leptosiphon acicularis,1,1.691,0.246,,,,,
Leptosiphon acicularis MO4210887,Leptosiphon acicularis,2,1.175,0.163,,,,,
Leptosiphon acicularis MO4210887,Leptosiphon acicularis,3,1.497,0.271,,,,,
Leptosiphon acicularis MO4271541,Leptosiphon acicularis,1,1.508,0.254,,,,,
Leptosiphon acicularis MO4271541,Leptosiphon acicularis,2,1.832,0.202,,,,,
Leptosiphon acicularis MO4271541,Leptosiphon acicularis,3,1.889,0.216,,,,,
,Leptosiphon acicularis,,,,1.690888889,0.24960491,0.215666667,0.035832946,7.840288511
Leptosiphon ambiguus KANU00249016,Leptosiphon ambiguus,1,1.529,0.25,,,,,
Leptosiphon ambiguus KANU00249016,Leptosiphon ambiguus,2,1.425,0.346,,,,,
Leptosiphon ambiguus KANU00249016,Leptosiphon ambiguus,3,1.642,0.266,,,,,
Leptosiphon ambiguus KANU00249017,Leptosiphon ambiguus,1,1.594,0.282,,,,,
Leptosiphon ambiguus KANU00249017,Leptosiphon ambiguus,2,1.477,0.254,,,,,
Leptosiphon ambiguus KANU00249017,Leptosiphon ambiguus,3,1.27,0.201,,,,,
,Leptosiphon ambiguus,,,,1.4895,0.132840882,0.2665,0.047496316,5.589118199
Leptosiphon androsaceus KANU00249021,Leptosiphon androsaceus,1,1.855,0.148,,,,,
Leptosiphon androsaceus KANU00249021,Leptosiphon androsaceus,2,2.644,0.21,,,,,
Leptosiphon androsaceus KANU00249021,Leptosiphon androsaceus,3,2.616,0.271,,,,,
Leptosiphon androsaceus KANU00249023,Leptosiphon androsaceus,1,2.863,0.289,,,,,
Leptosiphon androsaceus KANU00249023,Leptosiphon androsaceus,2,2.602,0.248,,,,,
Leptosiphon androsaceus KANU00249023,Leptosiphon androsaceus,3,2.084,0.19,,,,,
Leptosiphon androsaceus KANU365874,Leptosiphon androsaceus,1,2.223,0.418,,,,,
Leptosiphon androsaceus KANU365874,Leptosiphon androsaceus,2,2.158,0.464,,,,,
Leptosiphon androsaceus KANU365874,Leptosiphon androsaceus,3,2.261,0.42,,,,,
,Leptosiphon androsaceus,,,,2.367333333,0.327462975,0.295333333,0.112912577,8.015801354
Leptosiphon aureus KANU00249028,Leptosiphon aureus,1,0.961,0.266,,,,,
Leptosiphon aureus KANU00249028,Leptosiphon aureus,2,1.113,0.449,,,,,
Leptosiphon aureus KANU00249028,Leptosiphon aureus,3,1.141,0.231,,,,,
Leptosiphon aureus KANU00249029,Leptosiphon aureus,1,1.05,0.21,,,,,
Leptosiphon aureus KANU00249029,Leptosiphon aureus,2,0.911,0.366,,,,,
Leptosiphon aureus KANU00249029,Leptosiphon aureus,3,0.909,0.297,,,,,
,Leptosiphon aureus,,,,1.014166667,0.101655136,0.303166667,0.090025367,3.34524464
Leptosiphon aureus ssp aureus KSC0126157,Leptosiphon aureus ssp aureus,1,1.238,0.397,,,,,
Leptosiphon aureus ssp aureus KSC0126157,Leptosiphon aureus ssp aureus,2,1.066,0.382,,,,,
Leptosiphon aureus ssp aureus KSC0126157,Leptosiphon aureus ssp aureus,3,1.113,0.458,,,,,
,Leptosiphon aureus ssp aureus,,,,1.139,0.088898819,0.412333333,0.040253364,2.762328213
Leptosiphon bicolor KANU00249039,Leptosiphon bicolor,1,1.765,0.254,,,,,
Leptosiphon bicolor KANU00249039,Leptosiphon bicolor,2,1.601,0.281,,,,,
Leptosiphon bicolor KANU00249039,Leptosiphon bicolor,3,1.764,0.163,,,,,
Leptosiphon bicolor KANU00249041,Leptosiphon bicolor,1,1.035,0.141,,,,,
Leptosiphon bicolor KANU00249041,Leptosiphon bicolor,2,0.953,0.141,,,,,
Leptosiphon bicolor KANU00249041,Leptosiphon bicolor,3,0.886,0.205,,,,,
Leptosiphon bicolor KANU00249042,Leptosiphon bicolor,1,2.102,0.221,,,,,
Leptosiphon bicolor KANU00249042,Leptosiphon bicolor,2,1.407,0.184,,,,,
Leptosiphon bicolor KANU00249042,Leptosiphon bicolor,3,1.955,0.161,,,,,
Leptosiphon bicolor KANU00305479,Leptosiphon bicolor,1,1.992,0.18,,,,,
Leptosiphon bicolor KANU00305479,Leptosiphon bicolor,2,1.779,0.186,,,,,
Leptosiphon bicolor KANU00305479,Leptosiphon bicolor,3,1.378,0.147,,,,,
,Leptosiphon bicolor,,,,1.551416667,0.418188183,0.188666667,0.044634543,8.223056537
