long,lat
-81.00553,49.16669
-93.88194,51.03445
-80.60942,43.62427
-79.94618,48.03027
-75.63184,44.53995
-92.04907,48.36266
-94.02934,49.40276
-93.47855,48.60385
-94.5176,52.6752
-79.81129,48.51035
-76.4198,44.61615
-80.02915,44.15255
-80.66389,44.30352
-134.4837,60.36933
-135.1155,60.69976
-105.4979,37.57915
-105.8199,39.67095
-107.0153,39.1084
-105.9583,40.79166
-105.1058,38.8922
-105.0652,39.21338
-107.8833,38.49833
-106.4917,37.30833
-106.5123,37.32255
-104.9677,39.42923
-106.8085,39.6632
-104.9743,38.8993
-104.9908,38.54166
-106.4269,39.18975
-106.3833,39.26944
-105.3646,40.57499
-108.5417,40.45418
-107.7667,37.75417
-105.1598,38.753
-105.9333,40.54167
-106.2583,39.24998
-108.2083,37.4625
-105.1167,38.4
-104.8604,38.6691
-106.3,39.25
-106.2275,39.32385
-107.0671,39.3375
-106.6535,40.4521
-104.9917,38.9006
-105.4826,37.5969
-105.2155,39.11636
-106.8583,37.025
-104.3786,37.09263
-106.6417,38.59998
-106.4417,39.0917
-106.625,39.45824
-105.3542,39.31667
-107.7084,38.875
-105.1146,38.826
-105.298,40.00817
-105.2146,39.0465
-108.3364,37.33925
-107.9514,39.16305
-105.1137,38.0654
-105.3792,40.17585
-104.9426,38.5859
-106.1666,39.7198
-107.7247,37.83905
-104.875,38.716
-105.7854,39.39565
-106.5445,39.1006
-105.6385,40.84707
-106.496,37.37285
-106.199,38.83714
-107.7015,37.70338
-105.475,39.40589
-107.0596,39.37357
-106.3023,39.80777
-105.2527,39.35503
-73.1512,41.36935
-73.36136,41.49472
-85.6489,30.98555
-84.60745,30.6645
-80.21295,26.5931
-82.0332,27.0047
-81.52915,30.2333
-80.8595,28.3725
-80.1937,26.27395
-80.21025,26.08285
-81.75165,30.05705
-81.76041,26.15915
-80.8368,26.06885
-81.29691,25.91695
-82.98365,29.6699
-82.50591,28.50665
-85.217,30.8724
-81.62275,29.10635
-82.05835,29.0599
-81.90875,29.1951
-81.9233,29.19395
-86.5065,30.51295
-80.93504,28.3609
-81.12476,27.97255
-81.0621,28.1382
-81.19445,27.99245
-82.6053,28.3836
-80.93919,28.85025
-86.9648,30.84015
-81.3456,29.85375
-81.96195,29.7351
-81.8708,26.59885
-82.45165,27.7068
-81.5446,28.6901
-82.55556,29.4179
-82.3657,29.77535
-81.1273,29.47035
-81.0651,26.01535
-81.68295,29.77295
-80.13215,27.0099
-84.20835,30.4836
-87.1814,30.9905
-85.76891,30.7599
-82.52655,28.5716
-81.3065,25.8972
-80.8044,27.3973
-81.80005,29.98085
-81.4189,30.4544
-86.6913,30.56775
-85.6316,30.4664
-81.9055,29.07655
-85.95136,30.9854
-82.929,29.591
-82.46557,27.28518
-80.60976,26.61979
-81.93871,28.00845
-82.454,27.099
-81.9742,27.89469
-82.42,29.098
-82.438,28.043
-84.583,30.587
-81.33,25.927
-81.35876,27.37341
-81.6965,28.775
-81.771,30.069
-82.6505,29.191
-80.926,25.141
-82.44749,28.252
-81.22285,26.0079
-82.879,30.3125
-81.83705,30.2809
-81.82794,30.05287
